연번,평일주말,호선,역번호,역명,구분,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,5:00,6:00,7:00,8:00,9:00,0:00
296,평일,3,322,동대입구,하행,,,,,,43.4,37.6,38.3,53,44.3,49,70.7,53.8,62.7,30.1,22,26.6,25,16,11,33.5,52.5,67.4,56.6,3.4
297,평일,3,323,약수,상행,,,,,,28.8,37.5,45.2,39.8,40.8,53.1,49.1,71.4,81.9,57.6,38.4,34,38.2,19.8,3.8,9.8,26.2,46.3,36.2,8.4
298,평일,3,323,약수,하행,,,,,,49,42.3,42.4,58.6,48,51.4,74,55,68.1,32.3,23.4,27.8,28,17.5,14.6,39,62.6,82.6,67.4,4
299,평일,3,324,금호,상행,,,,,,30.8,40.6,48.5,42.6,44.8,56.7,57.6,83.1,96.6,67.9,46.4,40.8,43.6,23.6,4.8,9.6,26,47.8,38.3,11
300,평일,3,324,금호,하행,,,,,,49.3,43,42.6,58.4,47.7,51,73,53.8,65.8,31.5,22.5,25.8,27.2,16.4,16,39.8,63.8,85.3,70.4,3.7
301,평일,3,325,옥수,상행,,,,,,30,39.6,49,40.2,46.8,57.4,58.3,84.4,99,69.4,47.5,41.8,45,23.6,4.2,8.8,25.2,44.3,36.9,9.1
302,평일,3,325,옥수,하행,,,,,,55,47.3,45.8,62.3,50.8,52.6,76.4,55.6,67.2,32.7,22.6,25.8,27,17.4,18.3,44,70.2,95.2,80.2,4.5
303,평일,3,326,압구정,상행,,,,,,30.9,41,51.8,42.6,52,64.2,66.4,94.5,110.5,75.8,52.4,47.2,51.1,26,3.7,9.6,25.2,43,36.9,8.4
304,평일,3,326,압구정,하행,,,,,,48.2,45,43.4,57.1,51,53.8,78.6,56.8,72.6,39.2,27.2,29,30.3,18.3,8.2,39.4,64.4,82.6,65.7,4.4
305,평일,3,327,신사,상행,,,,,,35.1,45.2,54.6,43.7,51.4,61.8,65.2,88.1,101.4,66.1,45.2,41.7,44,23,3.6,10.8,28.3,49.8,46.7,8.2
306,평일,3,327,신사,하행,,,,,,36.4,36.4,36.1,47.9,43.9,45.2,65.8,49.8,63.5,37.7,27.4,29.9,33.7,19.2,7.6,32.8,48.2,66.3,44.2,4.3
307,평일,3,328,잠원,상행,,,,,,34.5,40.7,49.8,39.5,47,53,56.2,73.2,81.8,48.8,34.2,30.8,32.9,16.5,3.6,11.6,28.2,49,53.1,6.2
308,평일,3,328,잠원,하행,,,,,,37,37.1,36.6,48.4,44.4,45.1,65.8,51.6,61.2,37.1,26.8,29.5,33.6,19.2,7.6,32.5,48.8,69,44.8,5
309,평일,3,329,고속터미널,상행,,,,,,34.2,40.3,48.2,40.1,47.4,53.3,56.2,73.2,82,49.8,34,31.6,33.8,17,3.8,12.3,27.9,48.3,52.7,6.6
310,평일,3,329,고속터미널,하행,,,,,,41.7,39.9,39.1,52.3,47.5,45,66.2,53,60.8,38.2,28.6,28.6,31.4,18.3,8.7,36.6,64.6,94.4,57.3,5.5
311,평일,3,330,교대,상행,,,,,,36,42.4,51.4,41.9,52.6,59.4,68.4,88.3,102,57.4,37.2,36.9,40.2,18.2,4.2,14,31.1,47.4,44.8,7.4
312,평일,3,330,교대,하행,,,,,,29.4,29.8,31,39.2,39.3,37,55.5,45.2,51.9,32.2,23.8,24.8,28.3,16.6,10.4,36.1,54.5,82,41.2,4.8
313,평일,3,331,남부터미널,상행,,,,,,31.2,36.2,41.5,32.9,40,46.4,55,72.4,81.1,43.2,28.8,28.6,30.6,13.6,4.1,11.8,29.5,45.5,38.7,4.7
314,평일,3,331,남부터미널,하행,,,,,,23.8,25.5,26.6,34,32.8,31.4,48.2,42.8,50.4,30.5,22,25,25.2,15.1,9.4,29.9,46.5,61.1,31.8,4.1
315,평일,3,332,양재,상행,,,,,,29,31.5,35.4,27.6,35.6,37.6,47.6,56.2,65.6,34.8,23.2,22.8,25,11.1,4.2,12.4,30.6,48.2,36.2,2.9
316,평일,3,332,양재,하행,,,,,,16,19.2,20.6,26.6,26.8,26.5,40.6,40.5,48.3,28,20.7,23.4,22.7,13.7,4.3,21,27,33.5,17.3,3.4
317,평일,3,333,매봉,상행,,,,,,26.1,26.8,29.7,22.8,26.8,28.2,35,38.2,38.8,20.3,13.5,13.1,17.1,7.6,4.6,12.6,31.8,52.6,36.1,2.5
318,평일,3,333,매봉,하행,,,,,,14.4,17.3,19.5,24.6,26.6,25.6,40,41,48.9,27.7,21.1,22.8,22.8,13.2,4.4,19.3,23.9,25.6,14.4,3.5
319,평일,3,334,도곡,상행,,,,,,25,25.4,27.9,21.3,24.5,25.4,32,33.8,31,17.9,11.8,11.1,16.8,6.6,4.2,12.5,32.4,55.2,34.6,2.5
320,평일,3,334,도곡,하행,,,,,,12.2,15,16.6,21.4,23.1,22.6,33.4,36,41.7,24.8,18,19.1,20.2,12.4,4.1,17,20.8,23.7,11.5,4.1
321,평일,3,335,대치,상행,,,,,,22,21.8,24.3,18.2,21.5,21.2,26.6,30.1,25.6,14.5,9.8,9.3,13.4,5.5,3.7,11.8,30.1,47.5,30.1,2
322,평일,3,335,대치,하행,,,,,,10.1,12.5,13.4,17.3,19.5,18.8,29,31.6,38,22.3,16.8,17.3,22.6,9.9,4.1,15.6,20,20.4,10.3,3.4
323,평일,3,336,학여울,상행,,,,,,20.2,20.1,22,16.4,20.2,19.8,25.1,27.3,23.2,11.6,8,7.2,7.6,5,2.9,10,26.4,44.4,27.5,2
324,평일,3,336,학여울,하행,,,,,,9.6,12.1,12.8,16,19.5,18.4,28.8,31.4,37,22,17.1,17,22.2,9.6,4.1,15.7,19.8,19.8,10.4,3.2
325,평일,3,337,대청,상행,,,,,,19.5,19.8,22.4,16.1,19.8,19.3,24.5,25.8,22.2,11.3,8,7.1,7.6,5,3.6,9.4,27.8,44,26.7,2
326,평일,3,337,대청,하행,,,,,,9,11.4,12,14.8,18.8,17.8,24.9,29.9,33.8,19.4,15,14,18.2,7.6,4,14.3,17.8,17.8,10,2.8
327,평일,3,338,일원,상행,,,,,,17.4,17.8,20.4,14.6,18,17.2,21.4,22.7,19.4,10,7.2,6.6,7.4,5,3.3,8.4,24.6,39.8,23.2,2.3
328,평일,3,338,일원,하행,,,,,,7.2,10.4,9.4,12.2,15.8,16.4,24.6,29.4,31.8,18.2,13.4,12.3,15.5,7.5,3.9,11.2,13.2,16.6,8,2.2
329,평일,3,339,수서,상행,,,,,,15.3,14.8,16.3,13.3,14.4,13.2,15.4,16.6,18,8.7,6.6,6.4,7,4.6,3.3,8.3,23.4,37.8,21.2,1.8
330,평일,3,339,수서,하행,,,,,,6.5,10,9,12.2,14.7,15.8,24.1,29.4,31.2,17.2,12.9,11.4,14.2,7.7,4.3,8,11,15.8,7.4,2.2
331,평일,3,340,가락시장,상행,,,,,,13.8,14.2,14.8,12.1,14,11.6,17.4,20.4,17.8,8.4,6.2,6,6.8,3.6,5.8,19.5,32.7,42.4,22,1.6
332,평일,3,340,가락시장,하행,,,,,,5.6,6.4,6.7,8,9,10.6,18.2,19.4,22.4,16.1,10.5,10.8,10.8,9.4,0,5.4,7.2,12.1,5.8,2.1
333,평일,3,341,경찰병원,상행,,,,,,9.2,9.2,9.6,7.8,8.6,6.9,11.1,11.8,11,4.6,3.5,3.2,4,2,4.4,13,23,27.6,14.5,0.4
334,평일,3,341,경찰병원,하행,,,,,,4.2,5,5,6.2,6.8,8.1,15.1,16.6,18.6,12.3,8.2,8.6,8.4,6.8,0,4.2,5.4,8.1,3.3,1.4
335,평일,3,342,오금,상행,,,,,,7.3,7.2,7.4,6.2,6.4,5.1,8.4,8.5,7.6,3.4,2.6,2.4,3.1,1.6,3.7,10.2,18.5,23.6,11.8,0.4
336,주말,3,309,지축,상행,,,,,,16.2,19.4,26.4,31.3,34.2,32.9,44,39.4,40.1,35.4,27.1,23.6,31.2,31.6,5.8,7.4,8.9,11.9,22.2,0
337,주말,3,309,지축,하행,,,,,,38.9,40,40.5,40.1,41.6,40.2,40.9,34.8,22.5,20.2,14.1,10.7,11.5,5,13.7,13.7,19.8,28.1,37.2,0
338,주말,3,310,구파발,상행,,,,,,12.3,11.2,13.8,16,17.8,18.5,22.9,23.9,26.4,19.6,18.5,20,20.9,8.3,6,6.7,4.6,7.2,11.2,0
339,주말,3,310,구파발,하행,,,,,,30.3,27.6,27,24,25.8,25.1,25.6,21.7,18.2,12.3,10.6,11.1,8.4,5.2,1.3,9.5,12.8,22.5,26.1,0
340,주말,3,311,연신내,상행,,,,,,15,15.6,17.5,20.3,21.8,23.4,27.5,28.5,29.2,24,21.2,25.9,22.4,13.1,6.3,7.6,6.3,9.4,15.2,2.3
341,주말,3,311,연신내,하행,,,,,,33.1,32.1,28.1,27.3,25.9,24.8,24.5,21.5,15.2,12.2,10.4,10,8.4,6.8,3.7,11.7,14.4,25.2,28.6,0
342,주말,3,312,불광,상행,,,,,,16.5,17.7,20,23.4,25.3,28.6,33.7,36.2,36.6,29.9,28.4,32.3,28.3,18.6,5.5,7.5,6.9,10.6,16.6,3.9
343,주말,3,312,불광,하행,,,,,,38.5,37.2,34,31,29.8,28.9,28.8,25.4,17.5,14.2,11.6,11.5,9.7,7.8,5.2,14,17.4,29.8,33.9,0
344,주말,3,313,녹번,상행,,,,,,16.6,17.7,19.7,23.8,25,29.2,33.1,38,37.4,30,29.8,33.4,28,18.8,5,6.5,6.6,10.4,16.1,0
345,주말,3,313,녹번,하행,,,,,,41,42.7,37.3,33.6,32,30.7,30.4,26.1,17.9,14.2,11.5,11.2,9.3,6.8,6.4,15.5,19.4,33.3,37.5,0
346,주말,3,314,홍제,상행,,,,,,16.4,17.6,19.8,24.3,25.8,30.6,35.2,40.8,40.7,32.8,33,36.6,31.3,20.1,4.6,6.2,6.7,10.6,16.5,0
347,주말,3,314,홍제,하행,,,,,,42.8,47.3,41.5,35.4,36.1,33,33.8,27.6,20.3,14.8,11.6,10.9,9.6,6.2,8.1,16.4,20.4,35.1,42.5,0
348,주말,3,315,무악재,상행,,,,,,17,18.3,20.5,25.8,26.7,33.5,40.2,42.9,44.6,34.8,38.4,39.8,34.7,23.2,3.9,6.5,7.1,11.3,17.2,0
349,주말,3,315,무악재,하행,,,,,,44,48.4,41.8,36.9,36.8,33.5,34.2,28,20.4,14.8,11.8,10.7,9.6,6.2,8.4,16.7,20.8,36,43.6,0
350,주말,3,316,독립문,상행,,,,,,17.1,18.5,20.8,26.2,27.2,34.2,41.2,43.9,46.2,35.7,39.4,40.2,35.6,23.6,3.8,6.5,7.2,11.4,17.3,0
351,주말,3,316,독립문,하행,,,,,,46.5,47.2,44.1,38.3,38.2,35.2,36,29.3,20.9,15,12,11,9.6,6.1,6.8,17.1,20.2,35.6,43.9,0
352,주말,3,317,경복궁,상행,,,,,,18.9,19.5,21.3,27.2,27.8,35.4,42.1,44.9,47.1,36.4,40.1,40.7,36.4,24.3,4.2,6.4,7.4,12.4,19.9,3.2
353,주말,3,317,경복궁,하행,,,,,,46.2,49,48.3,44.1,45.1,45.4,47.6,41.8,29.1,21.5,17,16.4,13.3,8.2,7.9,16.2,19.5,33.8,43.9,0
354,주말,3,318,안국,상행,,,,,,29.1,30.3,33.8,38.2,36.5,43.2,46.2,49,48.5,36.4,41.2,41,36.6,21.7,4.2,7,9,16.4,29.8,0
355,주말,3,318,안국,하행,,,,,,45.6,48.5,49.6,46.8,50.3,53,57.8,53.5,37.8,28,22.2,20.7,17.3,8.7,7.8,15.8,19,33,42.8,0
356,주말,3,319,종로3가,상행,,,,,,38.9,41.2,43.7,46.8,43.4,49.3,49.6,51.2,49,35.9,41.8,38.8,35.8,21.8,4.1,7.6,11,19.8,36.3,0
357,주말,3,319,종로3가,하행,,,,,,34.8,38.6,38.4,36.4,40.4,43.3,47,43,34.2,23.5,19.1,18.6,14.9,7.6,6.6,12.2,13.8,25.7,34,0
358,주말,3,320,을지로3가,상행,,,,,,29.3,32.7,34.6,37.6,35.7,38.4,40.3,41.1,38.1,28.7,34.3,30.5,29.2,17.8,2.6,5.2,8,15,26.5,0
359,주말,3,320,을지로3가,하행,,,,,,31,35.4,33.7,33.4,36,37.4,43.1,39.9,31.6,24.8,19.8,19.2,17,9.6,5.9,10.8,11.9,22.6,29.4,0
360,주말,3,321,충무로,상행,,,,,,26.5,30.5,32.6,36.2,33.9,36.2,38.6,40.2,36.2,26,30.6,26.4,24.7,15.6,2.5,4.7,7.5,14.1,23.4,0
361,주말,3,321,충무로,하행,,,,,,35.3,39.1,36,36,36.4,37.4,43.7,40.1,31.8,25,21.2,20.5,17.6,10,6.5,13.7,13.9,26.1,33.6,0
362,주말,3,322,동대입구,상행,,,,,,24,30.1,34.1,37.3,35,40.6,41.3,43.6,40.9,28.6,35.4,30.2,25.8,16.6,3,4.5,7.3,13.2,20,0
363,주말,3,322,동대입구,하행,,,,,,32.2,36.4,33.6,33.2,36.2,37.8,44.2,40.1,32.2,25.4,21.8,20.8,19.3,10.6,6.5,12.8,12.5,23.4,30.8,0
364,주말,3,323,약수,상행,,,,,,25.3,31.1,35.2,38.4,35.7,37.6,38.8,41.9,38,27.2,34,29,24.4,16.3,2.8,4.8,7.8,14.1,21.2,0
365,주말,3,323,약수,하행,,,,,,37.1,42.2,38.9,38.4,40.7,40.6,49.7,45,35.9,27.4,24.5,22.6,20.2,12.5,8.7,15.5,14.1,26.9,36.3,0
366,주말,3,324,금호,상행,,,,,,27,34.2,39,42.3,40.4,43.6,44.2,48.3,43.1,31.7,38.4,33.8,28.4,18.3,3.7,5,8.4,16,22.2,0
367,주말,3,324,금호,하행,,,,,,38.2,42.7,38.9,38.8,40.9,40.4,48.8,44.7,35.3,26.9,23.8,21.9,19.6,11.8,9.3,15.8,14.4,27,36,0
368,주말,3,325,옥수,상행,,,,,,26.6,34.2,37.6,43.7,39.5,43.1,47.6,46.7,42.2,32.4,39.3,34.3,29.1,19,3.4,5.1,8.1,15.8,21.6,0
369,주말,3,325,옥수,하행,,,,,,42.5,47.8,43.6,43,44.3,44.1,51.9,48.2,37,28.3,24.7,22.9,19.9,11.8,10.2,17.4,15.8,30.4,41.1,0
370,주말,3,326,압구정,상행,,,,,,27.6,35.8,40,46.6,43.1,47.4,52.5,51.8,47.2,36.7,45,38.6,32.6,20.2,3.7,5.4,8.9,16.8,22.2,0
371,주말,3,326,압구정,하행,,,,,,36.7,43.4,41.5,41.4,44.2,45,53.7,50.2,41,29.7,28.6,25.8,22.4,12.1,3.8,16.9,13.5,25,32.9,0
372,주말,3,327,신사,상행,,,,,,32.1,39.3,42.1,47.2,42.7,45.8,50.6,49,42.6,33.6,38.5,33.6,29.6,17,3,6.2,10,20.9,28.6,0
373,주말,3,327,신사,하행,,,,,,27.7,33.8,34.2,33.2,38,38,47.5,43.1,35.7,26.9,26.6,24.7,22.9,12.6,4.4,14.4,11.8,20.3,24.5,0
374,주말,3,328,잠원,상행,,,,,,31.3,35.6,38.3,41.2,36.7,40.2,42.4,44,36.6,28.6,32.5,25.5,21.7,11.8,2.4,6.4,8.9,18.9,28.8,0
375,주말,3,328,잠원,하행,,,,,,28.2,34.2,34.6,33.6,37.9,38.2,47.5,43.2,35.6,26.7,26.6,24.6,22.5,12.3,4.5,14.2,11.8,20.6,24.8,0
376,주말,3,329,고속터미널,상행,,,,,,31.2,35.3,38,41.2,36.5,40.2,42.3,44.1,36.9,28.8,32.6,25.7,22,12.1,2.4,6.8,8.9,18.8,28.9,0
377,주말,3,329,고속터미널,하행,,,,,,28.3,34.3,35.8,34.4,36.3,36.1,49,44.8,36.6,29.2,28.6,24.1,22.7,12.4,4.7,15.5,12.4,20.6,27.2,0
378,주말,3,330,교대,상행,,,,,,30.1,35.8,39.4,42.2,37.7,41.4,43.7,43.5,36.3,28,29.5,24.7,22.4,11.4,3.2,7.5,10.1,19.4,27.3,0
379,주말,3,330,교대,하행,,,,,,23,27.9,28.2,27.9,29.3,29.2,39.9,35.4,29.1,24.2,23,18.8,19.3,10.5,5.9,15.3,12.1,19.9,23.8,0
380,주말,3,331,남부터미널,상행,,,,,,25.5,30.1,33.4,34,30.2,33,35.8,35.2,28.6,22.3,24.2,20,16.4,8.6,2.4,5.7,8.8,16,22.6,0
381,주말,3,331,남부터미널,하행,,,,,,17.8,22,21.6,21.4,22.8,22.8,31.4,29.3,23.7,19.7,19.8,16.9,17.6,9.8,5,11.7,9.4,16,18.8,0
382,주말,3,332,양재,상행,,,,,,22,24.8,27.9,28.4,24.3,26.7,29.1,27.6,21.7,15.5,17.4,15.5,13,7.1,2.4,5.6,8.2,14.9,19.6,0
383,주말,3,332,양재,하행,,,,,,11.9,14.3,15.8,16.2,17,19,21,24.1,20.5,15.9,15.8,14.6,14.5,8.6,2.6,9,5.8,11,13.2,0.7
384,주말,3,333,매봉,상행,,,,,,19.8,21.4,22.7,22.2,18,20.7,22.4,20.9,14.6,9.6,10.4,10.3,9.8,5.5,2.4,5.7,7.8,14.2,18.3,0
385,주말,3,333,매봉,하행,,,,,,11.1,13,15.5,15,16.6,18.6,20,22.9,19.7,15.2,15.2,14.4,14.6,8.3,2.7,8.5,5.3,9.9,12,0.6
386,주말,3,334,도곡,상행,,,,,,19.1,20.2,21.9,21.7,16.6,19.1,21.5,19.7,14,9.1,9.6,9,9.5,5.5,2.3,5.5,7.6,13.9,18.1,0
387,주말,3,334,도곡,하행,,,,,,9.4,10.5,13.2,12.8,13.7,15.6,16.6,19.3,17.4,12.9,12.5,12.9,12.2,7.3,2.4,7.4,4.5,8.1,10.3,0
388,주말,3,335,대치,상행,,,,,,16.5,17.3,18.9,18.4,13.7,15.6,17.5,16,11.7,7.5,7.7,7.4,7.8,4.7,2.1,4.7,7,12.2,15.8,0
389,주말,3,335,대치,하행,,,,,,8.4,9,11.9,10.8,12,14.8,14.4,17.7,16.3,11.7,11.7,12.1,11.8,6.3,2.3,6.7,4.2,6.2,8.6,0
390,주말,3,336,학여울,상행,,,,,,15.4,15.4,16.9,16.9,12,13.8,15.4,13.4,10,6.2,6.7,6.1,5.9,4.7,1.6,4.4,6.3,11.1,15.2,0
391,주말,3,336,학여울,하행,,,,,,7.8,9.3,10.9,10.6,11.7,14.4,14.3,17.7,16.2,11.4,11.6,12,11.5,6.1,2.4,7.3,4.2,6,7.8,0
392,주말,3,337,대청,상행,,,,,,15.6,15,16.9,16.4,11.3,13.8,14.2,12.8,9.3,6,6.6,6,5.9,4.8,1.6,4.5,6.5,11.3,15,0
393,주말,3,337,대청,하행,,,,,,7.6,8.9,10.2,9.6,10.7,13.3,13.1,16,14.4,10,9.9,10.5,9.8,5.6,2.7,6.9,3.9,5.7,7.7,0.6
394,주말,3,338,일원,상행,,,,,,13.7,13,15.1,14.6,10.2,12.6,12.8,11.5,8.6,5.8,6.5,5.9,5.8,4.8,1.4,4,5.7,9.8,13.2,0
395,주말,3,338,일원,하행,,,,,,6.9,8.2,10.1,8.8,9.5,12,13.7,13.2,13.8,9.7,8.5,9.6,9,4.9,2.7,5.9,3.4,4.8,6.8,0.4
396,주말,3,339,수서,상행,,,,,,12.9,11.2,13.3,12.6,9.2,10.4,11,10.4,7.9,5.5,6.2,5.7,5.5,4.7,1.8,3.7,5.6,10.2,12,0
397,주말,3,339,수서,하행,,,,,,8,8.7,10.6,9.2,8.8,11.6,13.4,12.1,12.2,8.8,7.6,8.7,8.5,5.2,2.7,4.1,2.9,4.6,6,0
398,주말,3,340,가락시장,상행,,,,,,10.8,10.8,12.8,11.5,9.3,10.2,10.2,11,8.9,6,7.8,7.4,5.3,3.6,3.2,7.5,5.7,9.6,12.9,0
399,주말,3,340,가락시장,하행,,,,,,4.4,4.9,5.6,5.5,5.6,6.8,8.3,8.6,7.8,6.4,7,6.6,7.9,5.8,0,3.1,1.9,3.1,3.8,0
400,주말,3,341,경찰병원,상행,,,,,,7,6.9,8.2,7.8,5.4,6.1,6.2,6.3,4.7,3.3,4,4.4,3.2,0.9,2.1,5,4.2,6.4,8.5,0
401,주말,3,341,경찰병원,하행,,,,,,3.8,3.8,4.6,4.6,4.5,6,6,7,6,5.1,5.2,5.3,6.4,4.1,0,2.5,1.5,2.5,3.2,0
402,주말,3,342,오금,상행,,,,,,5.4,5.4,6.2,6,4.4,5,5.2,5.4,3.6,2.8,3.2,3.9,2.6,0.8,1.9,4.2,3.2,5.2,6.6,0
403,평일,3,309,지축,상행,,,,,,13.2,17.8,20.6,23.5,26.8,35.6,41,54.2,107.8,75,41.5,40.2,39.7,32.9,9.7,12.8,17.4,22.1,17.2,16.2
404,평일,3,309,지축,하행,,,,,,44,37.1,33.2,28,23.4,23.5,27.5,29.6,29,16.7,11,9.6,10,5.7,19.5,46.2,94.1,95.6,62,2.4
405,평일,3,310,구파발,상행,,,,,,8.4,11.6,17.4,20.4,18.2,32.2,30.6,50.7,57.6,42.4,26.5,28,23.2,19.2,10.3,10,11.6,11.8,9.4,4.4
406,평일,3,310,구파발,하행,,,,,,40.1,29.8,30.9,30,19.7,26.8,25.6,22.6,18.1,10.3,9.3,9.4,9.4,5.5,8.2,33.7,64.4,73.2,43,2.2
407,평일,3,311,연신내,상행,,,,,,11.2,14.9,21,25.4,23.4,39.4,39.7,57.6,74.7,48.1,35.2,31.9,32,22.5,10.6,12.2,13.6,14,12,6.1
408,평일,3,311,연신내,하행,,,,,,45.8,30.5,33,31.5,20.8,26.4,25.6,19.2,15.8,10.2,8,8.7,8.4,5.3,12.2,37.5,71.3,82.1,51.5,2.1
409,평일,3,312,불광,상행,,,,,,12.9,17.9,25.4,29.5,28.2,48.8,49,74.1,96.6,63.8,44.8,40.7,41.5,28.4,9.8,12.8,14.6,15.4,13.4,9.6
410,평일,3,312,불광,하행,,,,,,50.3,36.6,35.2,36.8,24.8,29.4,29.2,22.6,19.2,12.3,9.4,10.2,9.7,6.8,16.4,43,82.4,98.7,62.2,2.2
411,평일,3,313,녹번,상행,,,,,,12.4,17.4,25.9,28.1,28.8,51.4,49.1,76,98.6,64.3,46.2,40.6,42.4,30,8.7,10.2,13.4,13.5,12.8,11
412,평일,3,313,녹번,하행,,,,,,54.9,39.8,38,39.3,26,29.9,30.3,22.9,19.6,12.7,9.6,9.8,9.3,6.5,19.2,49.1,94.3,112.2,71.4,2.2
413,평일,3,314,홍제,상행,,,,,,12.4,18.2,26.9,29,30.8,54.8,53.3,91.8,107.3,72.3,51.4,45.5,47.8,34,8,9.8,12.4,13.2,12.6,12.8
414,평일,3,314,홍제,하행,,,,,,60,43.2,40.6,44.6,27.9,31.3,34.4,25.1,20.4,12.7,9.7,10.5,9.1,6.8,22,49.6,99.4,122.8,77.2,2.1
415,평일,3,315,무악재,상행,,,,,,13.2,19.7,28.4,30.8,33,60,57.4,98.7,113.8,78,54.8,49.7,53,34.8,7,9.6,12.2,13.4,13.6,13.1
416,평일,3,315,무악재,하행,,,,,,62.2,44.3,41.3,45.2,28.4,31.6,35.5,24.8,21,12.6,9.8,10.8,9.1,6.8,22.6,50.8,101.6,127.8,80.2,2
417,평일,3,316,독립문,상행,,,,,,13.4,20,28.6,31.6,34.3,62.2,59.6,100.6,116.2,80.3,56.2,51,54.6,34.7,6.7,9.4,12.1,13.5,13.8,13.8
418,평일,3,316,독립문,하행,,,,,,62.4,45.4,42.1,47.2,29.5,31.9,36.8,25.7,21.8,13.2,10,11,9.2,6.8,15.8,51.8,100,128.2,81.4,1.9
419,평일,3,317,경복궁,상행,,,,,,14.2,20.6,31,31.5,35.4,62.1,63,103,116.7,81.4,56.9,51.8,56,35.6,6.8,9,13,14.3,14.2,11.6
420,평일,3,317,경복궁,하행,,,,,,63,49.8,46.4,55.2,37.7,42.8,53.8,38.2,36.1,19.6,14.7,17.6,14.2,9.1,16.1,49,96.7,122.4,79.3,2.1
421,평일,3,318,안국,상행,,,,,,23.7,30.3,40.6,39.2,40.3,65.6,64.2,102.4,113.2,79,55.8,51.6,55.3,36,7.2,10.8,17.8,28.1,27.8,11.8
422,평일,3,318,안국,하행,,,,,,61.7,50,49.2,61.1,46.3,53.9,70.9,52.8,52.5,27.2,20,23.4,18.2,11,15.8,46.2,87.6,112.8,76.4,2.2
423,평일,3,319,종로3가,상행,,,,,,32.7,40.2,50.1,45.6,44.8,67.4,62.9,97.8,106.4,77.6,53,49.1,53.6,33.9,7.4,14.7,31.5,40.6,37.5,12.1
424,평일,3,319,종로3가,하행,,,,,,49,40.2,38.7,51,40.2,45.4,64,44.9,50.2,25,19,21,17.9,11.1,12.8,36.6,68.6,90.5,60.8,2.6
425,평일,3,320,을지로3가,상행,,,,,,28,35.2,44,38.8,38.4,55.2,51.2,77,87.3,62.4,42.6,39.8,43.4,24.6,3.8,10.6,25.1,35.4,32.2,9.8
426,평일,3,320,을지로3가,하행,,,,,,44.4,37.7,35.6,49,39.6,45,62.5,47.8,57.4,27.5,21.3,23.9,21.8,14.2,11.2,29.8,52.6,70.2,52.2,3.4
427,평일,3,321,충무로,상행,,,,,,28,34.4,42.5,36.8,38.1,52.1,47.5,67.8,73.7,54.4,36.6,33.7,38.1,20.4,4,10.4,27,42.3,32.1,8.5
428,평일,3,321,충무로,하행,,,,,,49.8,39.8,38.2,53.4,42.6,48.1,67.5,50,61.9,30.2,22.2,25.6,24.5,15.8,10,35,59.4,73.4,58.6,3.8
429,평일,3,322,동대입구,상행,,,,,,28.6,37.2,46.2,39.9,41.2,55.8,51.1,74.4,81,62.3,41.7,35.7,41.1,20.3,4,9.7,26.4,44.7,33.4,8.5
430,평일,3,322,동대입구,하행,,,,,,43.9,36.3,37,50.2,43.2,48.2,69.9,52,63.8,31.4,23.7,26.5,25.6,17,10,33.5,56.8,67.1,55.4,3.9
431,평일,3,323,약수,상행,,,,,,29.8,38.8,46.8,39,39.8,53.4,48,67.3,79.2,59,37.8,33.3,38.8,19.9,3.7,10.1,27.8,48.7,36.2,8.5
432,평일,3,323,약수,하행,,,,,,49.4,41.2,40.7,55.4,46.8,51.2,73.4,52.8,69.1,33.3,25,28,29.2,19.9,14,39,67.5,82.4,65.8,4.6
433,평일,3,324,금호,상행,,,,,,31.6,42.8,51.2,41.9,44.2,57.8,55.4,79.2,95.6,69.2,45,40,43.8,22.9,4.7,9.8,28,50.2,39,10.6
434,평일,3,324,금호,하행,,,,,,49.6,42,40.9,55.4,46.4,50.5,72.2,51.6,66.9,32.8,24.2,25.7,28.4,18.9,15.4,39.8,68.6,84.5,69.1,4.2
435,평일,3,325,옥수,상행,,,,,,30.8,41.9,50,40.5,45.6,58.6,56.2,80.7,98.3,70.6,46,41.1,45.3,23.2,4,8.9,27,46.3,37.9,8.4
436,평일,3,325,옥수,하행,,,,,,55.1,46.2,44,59.5,49.6,52,75,53.4,68.3,33.6,24.2,26,28.4,19.6,17.5,44,74.5,96.2,78.6,4.8
437,평일,3,326,압구정,상행,,,,,,31.9,43.4,53.2,43.2,51,66.1,64.4,91.4,109.7,76.8,50.6,47,51.6,25.8,3.6,9.8,27,44.6,38,7.8
438,평일,3,326,압구정,하행,,,,,,48,44.2,41.6,55.7,50.8,54.2,77.6,54.6,75.6,38.9,28.8,29.2,31.6,20.2,8,39.2,68.6,83.4,64,4.7
439,평일,3,327,신사,상행,,,,,,37,48,55.6,44.4,50.2,61.8,63.2,85.4,100.4,66.6,45,41.8,44.9,22.8,3.4,11,30.3,52,48,7.6
440,평일,3,327,신사,하행,,,,,,36.8,36.6,35,48.7,43.2,45.6,65,48.4,67.6,37.6,28.2,29.4,33.9,19.8,7.2,32.5,51.6,66.6,43.7,4.5
441,평일,3,328,잠원,상행,,,,,,35.1,41.9,50,39.8,46.4,52.9,54.6,71.5,80.4,48.8,34.3,31.5,33.8,16.6,3.6,11.6,30.4,50.8,53.4,6.2
